OBJECTID,STATE_CODE,STRUCTURE_,RECORD_TYP,ROUTE_PREF,SERVICE_LE,ROUTE_NUMB,DIRECTION_,HIGHWAY_DI,COUNTY_COD,PLACE_CODE,FEATURES_D,CRITICAL_F,FACILITY_C,LOCATION_0,MIN_VERT_C,KILOPOINT_,BASE_HWY_N,LRS_INV_RO,SUBROUTE_N,LAT_016,LONG_017,DETOUR_KIL,TOLL_020,MAINTENANC,OWNER_022,FUNCTIONAL,YEAR_BUILT,TRAFFIC_LA,TRAFFIC__1,ADT_029,YEAR_ADT_0,DESIGN_LOA,APPR_WIDTH,MEDIAN_COD,DEGREES_SK,STRUCTURE1,RAILINGS_0,TRANSITION,APPR_RAIL_,APPR_RAIL1,HISTORY_03,NAVIGATION,NAV_VERT_C,NAV_HORR_C,OPEN_CLOSE,SERVICE_ON,SERVICE_UN,STRUCTUR_1,STRUCTUR_2,APPR_KIND_,APPR_TYPE_,MAIN_UNIT_,APPR_SPANS,HORR_CLR_M,MAX_SPAN_L,STRUCTUR_3,LEFT_CURB_,RIGHT_CURB,ROADWAY_WI,DECK_WIDTH,VERT_CLR_O,VERT_CLR_U,VERT_CLR_1,LAT_UND_RE,LAT_UND_MT,LEFT_LAT_U,SUPERSTRUC,SUBSTRUCTU,CHANNEL_CO,CULVERT_CO,OPR_RATING,OPERATING_,INV_RATING,INVENTORY_,STRUCTURAL,DECK_GEOME,UNDCLRENCE,POSTING_EV,WATERWAY_E,APPR_ROAD_,WORK_PROPO,WORK_DONE_,IMP_LEN_MT,DATE_OF_IN,INSPECT_FR,FRACTURE_0,UNDWATER_L,SPEC_INSPE,FRACTURE_L,UNDWATER_1,SPEC_LAST_,BRIDGE_IMP,ROADWAY_IM,TOTAL_IMP_,YEAR_OF_IM,OTHER_STAT,OTHER_ST_1,OTHR_STATE,STRAHNET_H,PARALLEL_S,TRAFFIC_DI,TEMP_STRUC,HIGHWAY_SY,FEDERAL_LA,YEAR_RECON,DECK_STRUC,SURFACE_TY,MEMBRANE_T,DECK_PROTE,PERCENT_AD,NATIONAL_N,PIER_PROTE,BRIDGE_LEN,SCOUR_CRIT,FUTURE_ADT,YEAR_OF_FU,MIN_NAV_CL,FED_AGENCY,SUBMITTED_,BRIDGE_CON_SHORT,DECK_COND_CODE,LOWEST_RAT,DECK_AREA,STATUS,DATE,LATDD,LONGDD,BRIDGE_CON,DECK_CON
212,12,720195,1,1,1,10,0,2,31,35000,CSXRR,0,I-10 (SR-8),BTWN. STOCKTON & KINGS,99.99,33.581,1,72270000,0,30191543,81413553,6,3,1,1,11,1960,11,0,136500,2021,5,51.6,1,30,1,1,1,1,1,5,N,0,0,A,1,2,5,2,0,0,3,0,27.9,20.7,49.1,0,0,51.6,56.1,99.99,R,6.64,R,5,0,7,7,N,N,1,52.3,1,32.7,7,9,5,5,N,8, , ,0,1021,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,2007,1,0,0,0,6,1, ,Y,N,236828,2043,0,N,12,G,7,7,2754.51,AM,1202,30.320981,-81.693019,Good,Good
213,12,720196,1,1,1,10,0,2,31,35000,STOCKTON ST.,0,I-10 (SR-8) EB,I-10 EB / STOCKTON ST.,99.99,33.754,1,72270000,0,30191385,81412755,3,3,1,1,11,1960,7,4,68250,2021,5,37.4,0,24,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,99.9,15.5,56.7,0,0,39,41.5,99.99,H,5.06,H,1.9,0.7,7,7,N,N,1,51.3,1,30.8,7,9,4,5,N,8, , ,0,122,24,N,N,N, , , ,0,0,0,0, ,0, ,1,R,1, ,1,0,2009,1,0,0,0,6,1, ,Y,N,118414,2043,0,N,12,G,7,7,2353.05,AM,1202,30.320383,-81.690964,Good,Good
214,12,720197,1,1,1,10,0,2,31,35000,CEDAR RIVER,0,I-10 (SR-8),200 FT. W. OF LANE AVE.,99.99,27.666,1,72270000,0,30185538,81451104,0,3,1,1,11,1960,7,0,121500,2021,5,38.2,1,15,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,4,0,21.1,2.7,11.9,0,0,0,0,99.99,N,0,N,0,0,N,N,7,6,1,99.9,1,99.9,6,N,N,5,8,8, , ,0,521,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,0,N,N,N,N,6,1, ,Y,8,210802,2043,0,N,12,F,N,6,454.58,MM,303,30.315403,-81.753,Fair,N/A
215,12,720198,1,1,1,10,0,2,31,3250,DEEP CREEK,0,I-10 WB (SR-8),I-10 WB / DEEP CREEK,99.99,1.514,1,72270000,0,30171051,82011775,1,3,1,1,1,1960,2,0,18000,2021,5,11.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,5,0,17,9.1,45.7,0,0,17,17.8,99.99,N,0,N,0,0,7,6,6,N,3,51.1,3,39.5,6,9,N,5,8,8, , ,0,921,24,N,Y24,N, ,921, ,0,0,0,0, ,0, ,1,L,1, ,1,0,1989,1,0,0,0,25,1, ,Y,5,31230,2043,0,N,12,F,7,6,813.46,AM,1202,30.286225,-82.021608,Fair,Good
216,12,720201,1,3,2,0109A,0,2,31,35000,SR-10A,0,SR-109A,CESERY BLVD. / SR-10A,99.99,10.329,0,72014000,0,30193900,81354900,3,3,1,1,16,1961,4,4,16600,2021,5,19.4,2,0,0,1,1,1,1,5,N,0,0,A,5,1,5,1,0,0,2,0,19.1,12.2,24.7,1.8,1.8,15.4,20.1,99.99,H,4.46,H,2.9,0.7,4,6,N,N,3,53,3,40.8,4,4,3,5,N,6, , ,0,322,24,N,N,Y02, , ,123,0,0,0,0, ,0, ,0,N,2, ,0,0,0,2,6,0,0,3,0, ,Y,N,28801,2043,0,N,12,P,4,4,496.47,MM,403,30.32745,-81.596956,Poor,Poor
217,12,720202,1,1,1,10,0,2,31,35000,BRANDY BRANCH,0,I-10 (SR-8),2.1 MI W. of SR-23,99.99,11.903,1,72270000,0,30180889,81545894,3,3,1,1,11,1961,4,0,50000,2021,A,23.2,1,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,3,0,14.6,2.4,7.8,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,3,53.3,3,40.8,6,N,N,5,8,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,2012,N,N,N,N,15,1, ,Y,8,86750,2043,0,N,12,F,N,6,180.96,MM,303,30.302736,-81.9163,Fair,N/A
218,12,720203,1,1,1,10,0,2,31,35000,CSXRR (ABANDONED),0,I-10 WB (SR-8),4.16 MI. E. OF SR-217,99.99,13.593,1,72270000,0,30181654,81535544,2,3,1,1,11,1960,2,0,25000,2021,5,11.6,0,8,0,1,1,1,1,5,N,0,0,A,1,0,5,2,0,0,3,0,12.2,19.2,41.8,0,0,12.2,13,99.99,N,0,N,0,0,8,7,N,N,3,38.5,3,14.3,3,7,N,5,N,8, , ,0,322,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,0,1,0,0,0,15,1, ,Y,N,43375,2043,0,N,12,G,7,7,543.4,AM,1202,30.304631,-81.898867,Good,Good
219,12,720205,1,1,1,10,0,2,31,35000,MCGIRTS CREEK,0,I-10 WB (SR-8),I-10 OVER MCGIRTS CREEK,5.54,17.896,1,72270000,0,30183188,81511542,1,3,1,1,11,1960,4,0,25000,2021,6,21.6,0,17,0,1,1,1,1,5,0,0,0,A,1,5,2,1,0,0,5,0,20.2,9.1,45.7,0,0,20.2,20.9,5.38,N,0,N,0,0,7,7,6,N,1,54.4,1,32.7,7,6,N,5,8,8, , ,0,222,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1989,1,0,0,0,15,1, ,Y,3,43375,2043,0,N,12,G,7,7,955.13,AM,1202,30.308667,-81.856647,Good,Good
220,12,720207,1,1,1,10,0,2,31,35000,CAHOON RD.,0,I-10 WB (SR-8),I-10 WB / CAHOON RD.,99.99,24.728,1,72270000,0,30185443,81470100,2,3,1,1,11,1960,4,4,38250,2021,5,27.9,0,0,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,3,0,21.1,17.7,40.5,0,0,21.1,22.1,99.99,H,5.08,H,0.7,0,7,7,N,N,3,37.7,3,34.5,7,7,3,5,N,8, , ,0,1121,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,2013,1,0,0,0,15,1, ,Y,N,66364,2043,0,N,12,G,7,7,895.05,AM,1202,30.315122,-81.783619,Good,Good
221,12,720208,1,1,1,10,0,2,31,35000,BRANCH OF DEEP CREEK,0,I-10 (SR-8),2.5 MI. W. OF US-301,99.99,1.225,1,72270000,0,30170864,82012922,6,3,1,1,1,1962,4,0,36000,2021,A,23.8,1,0,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,3,0,14.3,2.7,8.5,0,0,0,0,99.99,N,0,N,0,0,N,N,7,6,3,58.2,3,44.7,6,N,N,5,8,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,1973,N,N,N,N,25,1, ,Y,8,62460,2043,0,N,12,F,N,6,202.3,MM,303,30.285836,-82.0248,Fair,N/A
222,12,720210,1,1,1,95,0,2,31,35000,BIG DAVIS CREEK,0,I-95 (SR-9),0.1 MI.N.OF OLD ST. AUG.,99.99,5.618,1,72280000,0,30083600,81323200,11,3,1,1,11,1966,8,0,99311,2021,6,42,1,43,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,4,0,22,3.1,16.9,0,0,0,0,99.99,N,0,N,0,0,N,N,7,6,1,53.2,1,31.8,6,N,N,5,8,8, , ,0,621,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,2001,N,N,N,N,10,1, ,Y,8,172305,2043,0,N,12,F,N,6,709.8,AM,1202,30.144547,-81.542986,Fair,N/A
223,12,720213,1,1,1,295,0,2,31,35000,MELVIN RD.,0,I-295 NB (SR-9A),I-295 (SR-9A)/ MELVIN RD.,99.99,26.392,1,72001000,0,30152003,81454621,1,3,1,1,11,1972,3,2,59000,2021,5,18,0,3,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,3,0,17.1,16.8,40.5,0,0,17.1,18.3,99.99,H,4.59,H,3.8,0,7,7,N,N,3,38.8,3,25.8,6,6,6,5,N,8, , ,0,522,24,N,N,N, , , ,0,0,0,0, ,0, ,1,R,1, ,1,0,1994,1,0,0,0,13,1, ,Y,N,102365,2043,0,N,12,G,7,7,741.15,AM,1202,30.255631,-81.762864,Good,Good
224,12,720214,1,1,1,295,0,2,31,35000,WILSON BLVD.,0,I-295 NB (SR-9A),I-295 NB / WILSON BLVD.,99.99,27.998,0,72001000,0,30161146,81460165,0,3,1,1,11,1972,3,7,59000,2021,5,16.8,0,17,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,3,0,17.1,30.2,51.5,0,0,17.1,18.6,99.99,H,4.82,H,0.7,0,7,7,N,N,1,54.9,1,33,7,6,3,5,N,8, , ,0,422,24,N,N,N, , , ,0,0,0,0, ,0, ,1,R,1, ,1,0,1994,1,0,0,0,13,1, ,Y,N,102365,2043,0,N,12,G,7,7,957.9,AM,1202,30.269875,-81.767139,Good,Good
225,12,720215,1,1,1,95,0,2,31,35000,FECRR,0,I-95 SB (SR-9),I-95 SB OVER FECRR,99.99,10.366,1,72280000,0,30105908,81333099,2,3,1,1,11,1966,6,0,62500,2021,6,28.7,0,40,0,1,1,1,1,5,N,0,0,A,1,2,5,2,0,0,4,0,26.9,18.6,65.2,0,0,26.9,28,99.99,R,7.21,R,5.4,0,7,7,N,N,1,52.4,1,33.1,7,5,7,5,N,8, , ,0,421,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1997,1,0,0,0,10,1, ,Y,N,108438,2043,0,N,12,G,7,7,1825.6,AM,1202,30.183047,-81.558597,Good,Good
226,12,720216,1,1,1,95,0,2,31,35000,US-1 (SR-5),0,I-95 SB (SR-9),I-95 SB OVER US-1,99.99,10.562,1,72280000,0,30110569,81332972,1,3,1,1,11,1966,5,6,62500,2021,6,27.3,0,40,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,23.2,24.4,80.2,0,0,23.2,24.1,99.99,H,4.81,H,1.5,3.8,6,7,N,N,1,56.8,1,34.1,6,5,3,5,N,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1997,1,0,0,0,10,1, ,Y,N,108438,2043,0,N,12,F,7,6,1932.82,AM,1202,30.184947,-81.558256,Fair,Good
227,12,720217,1,1,1,95,0,2,31,35000,TIRE CREEK,0,I-95 (SR-9),0.3 MI. N. OF US-1,99.99,11.111,1,72280000,0,30112191,81332626,3,3,1,1,11,1967,8,0,122000,2021,6,42.2,1,10,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,3,0,24.7,2.4,7.8,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,1,99.9,1,99.9,6,N,N,5,8,8, , ,0,722,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,0,N,N,N,N,10,1, ,Y,8,211670,2043,0,N,12,F,N,6,329.16,MM,303,30.188881,-81.557564,Fair,N/A
228,12,720218,1,1,1,95,0,2,31,35000,NASSAU RIVER,0,I-95 SB (SR-9),I-95 SB / NASSAU RIVER,99.99,16.729,1,72290000,0,30343291,81384579,2,3,1,1,1,1967,3,0,39500,2021,6,17.1,0,0,0,1,1,1,1,5,1,3,12.8,A,1,5,5,2,0,0,13,0,17.1,14.6,190.2,0,0,17.1,17.9,99.99,N,0,N,0,0,7,4,4,N,1,63.3,1,38,4,6,N,5,8,8,38,1,190.2,521,24,N,Y23,Y12, ,521,522,425,0,425,0, ,0, ,1,L,1, ,1,0,1992,1,0,0,0,13,1,1,Y,3,68532,2043,0,N,12,P,7,4,3404.58,AM,1202,30.576192,-81.646192,Poor,Good
229,12,720219,1,1,1,95,0,2,31,35000,BAYMEADOWS RD.,0,I-95 SB (SR-9),I-95 & BAYMEADOWS RD.,99.99,14.965,1,72280000,0,30131507,81341685,0,3,1,1,11,1966,3,8,43250,2021,6,17.1,0,29,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,17.1,18.6,63.7,0,0,17.1,18,99.99,H,4.91,H,0.8,3.8,7,7,N,N,1,55.9,1,33.5,7,6,3,5,N,8, , ,0,1122,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1997,1,0,0,0,13,1, ,Y,N,75039,2043,0,N,12,G,7,7,1146.6,AM,1202,30.220936,-81.571467,Good,Good
230,12,720228,1,1,1,295,0,2,31,35000,JULINGTON CREEK,0,I-95 Ramp to I-295,I-95 NB Ramp to I-295 NB,99.99,1.497,1,72001101,0,30100351,81334172,5,3,1,1,11,1966,3,0,17000,2021,6,22.2,1,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,4,0,11.6,3,13,0,0,0,0,99.99,N,0,N,0,0,N,N,6,5,1,99.9,1,72.3,5,N,N,5,7,8, , ,0,122,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,1, ,1,0,2005,N,N,N,N,13,1, ,Y,8,29495,2043,0,N,12,F,N,5,288.6,AM,1202,30.167214,-81.562667,Fair,N/A
231,12,720229,1,1,1,95,0,2,31,35000,DUNN AVE. (SR-104),0,I-95 SB (SR-9),I-95 SB / DUNN AVE.,99.99,0.257,1,72290000,0,30254810,81392269,0,3,1,1,11,1968,3,7,36250,2021,6,17.6,0,4,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,2,0,17,24.1,47.9,0,0,17,17.8,99.99,H,4.71,H,1.6,0.3,7,7,N,N,3,44.2,3,25.7,6,6,3,5,N,8, , ,0,922,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1992,1,0,0,0,13,1, ,Y,N,62894,2043,0,N,12,G,7,7,852.62,AM,1202,30.43,-81.656314,Good,Good
232,12,720230,1,1,1,95,0,2,31,35000,CEDAR CREEK,0,I-95 SB (SR-9),I-95 SB / CEDAR CREEK,99.99,0.99,1,72290000,0,30261232,81392092,2,3,1,1,11,1968,3,0,36250,2021,6,17.7,0,13,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,7,0,17.1,9.8,68.3,0,0,17.1,17.9,99.99,N,0,N,0,0,7,6,7,N,1,59.1,1,35.5,6,6,N,5,8,8, , ,0,1221,24,N,Y24,N, ,1221, ,0,0,0,0, ,0, ,1,L,1, ,1,0,1992,1,0,0,0,13,1, ,Y,8,62894,2043,0,N,12,F,7,6,1222.57,AM,1202,30.436039,-81.655917,Fair,Good
233,12,720231,1,1,1,95,0,2,31,35000,LITTLE CEDAR CREEK,0,I-95 SB (SR-9),I-95 SB/LITTLE CEDAR CRK.,99.99,2.136,1,72290000,0,30264811,81391160,2,3,1,1,11,1968,3,0,36250,2021,6,17.7,0,30,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,7,0,17.1,9.8,68.3,0,0,17.1,17.9,99.99,N,0,N,0,0,7,6,7,N,1,59.1,1,35.5,6,6,N,5,8,8, , ,0,322,24,N,Y24,N, ,322, ,0,0,0,0, ,0, ,1,L,1, ,1,0,1992,1,0,0,0,13,1, ,Y,8,62894,2043,0,N,12,F,7,6,1222.57,AM,1202,30.446097,-81.653442,Fair,Good
234,12,720232,1,1,1,295,0,2,31,35000,I-95 (SR-9),0,I-295 SB (SR-9A),I-295 SB/ I-95 N. OF TOWN,99.99,56.306,1,72001000,0,30273376,81385825,2,3,1,1,11,1968,4,7,32250,2021,6,18.3,0,8,0,0,0,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,15.8,25,73.2,0.5,0.5,15.8,17.4,99.99,H,4.95,H,0.7,0.6,7,7,N,N,1,64.7,1,38.8,7,4,3,5,N,8, , ,0,922,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,0,1,0,0,0,13,1, ,Y,N,55954,2043,0,N,12,G,7,7,1273.68,AM,1202,30.459433,-81.649653,Good,Good
235,12,720233,1,5,1,0,0,2,31,35000,I-95 (SR-9),0,COLE RD.,COLE RD. / I-95,99.99,0.008,0,72290403,0,30280700,81384800,8,3,1,1,19,1968,1,8,1501,2021,5,4.8,0,15,0,0,0,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,5.1,25.6,74.4,0.5,0.5,5.1,10.7,99.99,H,4.99,H,0.4,0.7,7,7,N,N,1,53.5,1,34.4,7,2,3,5,N,8, , ,0,1121,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,3, ,0,0,0,1,0,0,0,1,0, ,Y,N,2604,2042,0,N,12,G,7,7,796.08,AM,1202,30.468578,-81.646714,Good,Good
236,12,720234,1,1,1,95,0,2,31,35000,AIRPORT RD.,0,I-95 SB (SR-9),I-95 OVER AIRPORT RD.,99.99,6.106,1,72290000,0,30285377,81383771,0,3,1,1,11,1968,3,6,48500,2021,6,16.4,0,0,0,1,0,1,1,5,N,0,0,A,1,1,5,2,0,0,2,0,17,23.5,46.9,0,0,17,18,99.99,H,4.66,H,4.5,6.7,7,7,N,N,3,33.9,3,30.4,7,6,6,5,N,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1992,1,0,0,0,13,0, ,Y,N,84148,2043,0,N,12,G,7,7,844.2,AM,1202,30.481619,-81.643817,Good,Good
237,12,720235,1,1,1,95,0,2,31,35000,BRANCH LITTLE CEDAR CRK.,0,I-95 (SR-9),0.2 MI N OF AIRPORT RD.,99.99,6.59,1,72290000,0,30290826,81383415,5,3,1,1,11,1968,8,0,79000,2021,6,41.4,1,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,2,0,21.9,3.7,7.6,0,0,0,0,99.99,N,0,N,0,0,N,N,7,6,1,86.5,1,51.9,6,N,N,5,6,8, , ,0,621,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,0,N,N,N,N,13,1, ,Y,8,137065,2043,0,N,12,F,N,6,314.64,ST,723,30.485628,-81.642819,Fair,N/A
238,12,720236,1,4,1,0,0,2,31,35000,I-95 (SR-9),0,OWENS RD.,OWENS RD. / I-95,99.99,2.964,0,72710002,0,30292629,81382974,3,3,1,1,19,1968,2,6,1001,2020,4,7.3,0,18,0,0,0,0,1,5,N,0,0,A,1,1,5,2,0,0,2,0,8.5,33.5,66.1,0.5,0.5,8.5,10.1,99.99,H,4.9,H,3.5,5.3,6,6,N,N,1,66.2,1,46.2,6,5,5,5,N,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,1,0,0,0,5,0, ,Y,N,1741,2042,0,N,12,F,7,6,667.61,AM,1202,30.49065,-81.641408,Fair,Good
239,12,720237,1,1,1,95,0,2,31,35000,PECAN PARK RD. (SR-243),0,I-95 SB (SR-9),I-95/PECAN PARK RD.,99.99,10.264,1,72290000,0,30310333,81380690,1,3,1,1,11,1968,3,6,39500,2021,6,17.7,0,4,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,2,0,16.9,21,42.1,0,0,16.9,17.8,99.99,H,4.95,H,5,0.1,7,7,N,N,3,41.2,3,32,7,6,6,5,N,8, , ,0,922,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1992,1,0,0,0,13,1, ,Y,N,68532,2043,0,N,12,G,7,7,749.38,AM,1202,30.517608,-81.635247,Good,Good
240,12,720239,1,1,7,295,0,2,31,35000,I-295 NB (SR-9A),0,I-295 SB TO I-95NB,I-295NB TO I-95NB/I-295SB,7.23,0.087,0,72001434,0,30273500,81385100,3,3,1,1,11,1968,1,2,15500,2021,6,5.9,0,99,0,0,0,1,1,5,N,0,0,A,1,1,5,2,0,0,3,0,7.1,19.8,49.1,0.5,0.5,7.1,8.6,7.09,H,4.98,H,3.8,3.2,7,7,N,N,3,38.8,3,30,7,6,5,5,N,7, , ,0,1121,24,N,N,N, , , ,0,0,0,0, ,0, ,3,N,1, ,1,0,0,1,0,0,0,13,1, ,Y,N,26892,2043,0,N,12,G,7,7,422.26,MM,303,30.459792,-81.647397,Good,Good
241,12,720240,1,1,1,295,0,2,31,35000,LOSCO CREEK,0,I-295 (SR-9A),1.4 MI. S. OF OLD ST.AUG.,99.99,2.58,1,72001000,0,30100400,81344100,5,3,1,1,11,1970,13,0,118500,2021,5,64.3,3,0,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,3,0,99.9,2.1,6.7,0,0,0,0,99.99,N,0,N,0,0,N,N,7,6,1,79.4,1,47.4,6,N,N,5,7,8, , ,0,1022,24,N,N,N, , , ,0,0,0,0, ,0, ,1,N,2, ,1,0,2019,N,N,N,N,13,1, ,Y,8,205598,2043,0,N,12,F,N,6,430.81,MM,303,30.167869,-81.578133,Fair,N/A
242,12,720241,1,1,1,295,0,2,31,35000,OLD ST. AUGUSTINE RD.,0,I-295 SB (SR-9A),I-295 / OLD ST. AUG. RD.,99.99,4.888,1,72001000,0,30100877,81360868,0,3,1,1,11,1969,5,5,59250,2021,6,25.9,0,22,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,25.6,43.3,69.8,0,0,25.6,26.5,99.99,H,5.24,H,1.5,0,7,7,N,N,3,42.8,3,33,7,7,4,5,N,8, , ,0,921,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,2017,1,0,0,0,13,1, ,Y,N,102799,2043,0,N,12,G,7,7,1849.7,AM,1202,30.16905,-81.602372,Good,Good
243,12,720242,1,1,1,295,0,2,31,35000,SR-13,0,I-295 SB (SR-9A),I-295 SB OVER SR-13,99.99,7.759,1,72001000,0,30105265,81374216,0,3,1,1,11,1969,6,8,58250,2021,6,29.2,0,32,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,29.2,27.7,86,0,0,29.2,30.2,99.99,H,4.82,H,5.4,1.8,7,7,N,N,3,41.8,3,35.9,7,7,6,5,N,8, , ,0,1122,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,2017,1,0,0,0,13,0, ,Y,N,101064,2043,0,N,12,G,7,7,2597.2,AM,1202,30.181383,-81.628511,Good,Good
244,12,720243,1,1,1,295,0,2,31,35000,SCOTT MILL RD.,0,I-295 SB (SR-9A),I-295 SB / SCOTT MILL RD.,99.99,8.502,1,72001000,0,30110221,81380723,2,3,1,1,11,1969,6,2,63250,2021,6,29.3,0,17,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,3,0,29.3,17.4,40.5,0,0,29.3,30.2,99.99,H,4.79,H,4.6,0,7,7,N,N,3,54.6,3,42.1,7,7,7,5,N,8, , ,0,1221,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,2017,1,0,0,0,13,1, ,Y,N,109739,2043,0,N,12,G,7,7,1223.1,AM,1202,30.183944,-81.635292,Good,Good
245,12,720244,1,1,1,295,0,2,31,35000,OLD ST. AUGUSTINE RD.,0,I-295 NB (SR-9A),I-295 / OLD ST. AUG. RD.,99.99,4.9,1,72001000,0,30100948,81360872,0,3,1,1,11,1969,5,10,59250,2021,6,26.3,0,22,0,1,1,1,1,5,N,0,0,A,1,1,3,2,0,0,3,0,25.6,43.3,69.8,0,0,25.6,26.5,99.99,H,5.06,H,1.6,0,7,7,N,N,3,42.8,3,33,7,7,4,5,N,8, , ,0,921,24,N,N,N, , , ,0,0,0,0, ,0, ,1,R,1, ,1,0,2017,1,0,0,0,13,1, ,Y,N,102799,2043,0,N,12,G,7,7,1849.7,AM,1202,30.169311,-81.602478,Good,Good
246,12,720245,1,1,1,295,0,2,31,35000,US-17 (SR-15),0,I-295 SB (SR-9A),I-295 SB OVER US-17,99.99,15.397,1,72001000,0,30112942,81421911,0,3,1,1,11,1969,4,8,63250,2021,6,24.8,0,20,0,1,1,1,1,5,N,0,0,A,1,1,5,2,0,0,4,0,19.4,23.5,74.4,0,0,19.4,20.4,5.88,H,4.51,H,5.9,2.2,7,7,N,N,3,58.2,3,31.8,7,5,6,5,N,8, , ,0,921,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,1994,1,0,0,0,13,1, ,Y,N,109739,2043,0,N,12,G,7,7,1517.76,AM,1202,30.191494,-81.705228,Good,Good
247,12,720246,1,1,1,295,0,2,31,35000,CSXRR,0,I-295 SB (SR-9A),0.4 MI. N. OF US-17,99.99,15.973,1,72001000,0,30112884,81424092,2,3,1,1,11,1969,4,0,34250,2021,6,20.9,0,5,0,1,1,1,1,5,N,0,0,A,1,2,5,2,0,0,3,0,20.6,13.4,40.5,0,0,20.6,21.6,99.99,R,6.78,R,5.9,0,8,7,N,N,3,53.5,3,41.8,7,6,6,5,N,8, , ,0,622,24,N,N,N, , , ,0,0,0,0, ,0, ,1,L,1, ,1,0,2014,1,0,0,0,10,1, ,Y,N,59424,2043,0,N,12,G,7,7,874.8,AM,1202,30.191333,-81.711353,Good,Good
248,12,720247,1,1,1,295,0,2,31,35000,ORTEGA RIVER,0,I-295 SB (SR-9A),0.1 MI. S. OF SR-21,99.99,18.219,1,72001000,0,30114036,81440280,1,3,1,1,11,1969,3,0,34250,2021,6,19.4,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,3,0,19.4,11,32.9,0,0,19.4,20.4,99.99,N,0,N,0,0,7,6,6,N,1,63.8,1,38.2,6,9,N,5,8,8,35,1,32.9,122,24,N,Y23,N, ,122, ,750,0,750,0, ,0, ,1,L,1, ,1,0,1994,1,6,0,0,10,1, ,Y,3,59424,2043,0,N,12,F,7,6,671.16,AM,1202,30.194564,-81.734239,Fair,Good
