OBJECTID,STATE_CODE,STRUCTURE_,RECORD_TYP,ROUTE_PREF,SERVICE_LE,ROUTE_NUMB,DIRECTION_,HIGHWAY_DI,COUNTY_COD,PLACE_CODE,FEATURES_D,CRITICAL_F,FACILITY_C,LOCATION_0,MIN_VERT_C,KILOPOINT_,BASE_HWY_N,LRS_INV_RO,SUBROUTE_N,LAT_016,LONG_017,DETOUR_KIL,TOLL_020,MAINTENANC,OWNER_022,FUNCTIONAL,YEAR_BUILT,TRAFFIC_LA,TRAFFIC__1,ADT_029,YEAR_ADT_0,DESIGN_LOA,APPR_WIDTH,MEDIAN_COD,DEGREES_SK,STRUCTURE1,RAILINGS_0,TRANSITION,APPR_RAIL_,APPR_RAIL1,HISTORY_03,NAVIGATION,NAV_VERT_C,NAV_HORR_C,OPEN_CLOSE,SERVICE_ON,SERVICE_UN,STRUCTUR_1,STRUCTUR_2,APPR_KIND_,APPR_TYPE_,MAIN_UNIT_,APPR_SPANS,HORR_CLR_M,MAX_SPAN_L,STRUCTUR_3,LEFT_CURB_,RIGHT_CURB,ROADWAY_WI,DECK_WIDTH,VERT_CLR_O,VERT_CLR_U,VERT_CLR_1,LAT_UND_RE,LAT_UND_MT,LEFT_LAT_U,SUPERSTRUC,SUBSTRUCTU,CHANNEL_CO,CULVERT_CO,OPR_RATING,OPERATING_,INV_RATING,INVENTORY_,STRUCTURAL,DECK_GEOME,UNDCLRENCE,POSTING_EV,WATERWAY_E,APPR_ROAD_,WORK_PROPO,WORK_DONE_,IMP_LEN_MT,DATE_OF_IN,INSPECT_FR,FRACTURE_0,UNDWATER_L,SPEC_INSPE,FRACTURE_L,UNDWATER_1,SPEC_LAST_,BRIDGE_IMP,ROADWAY_IM,TOTAL_IMP_,YEAR_OF_IM,OTHER_STAT,OTHER_ST_1,OTHR_STATE,STRAHNET_H,PARALLEL_S,TRAFFIC_DI,TEMP_STRUC,HIGHWAY_SY,FEDERAL_LA,YEAR_RECON,DECK_STRUC,SURFACE_TY,MEMBRANE_T,DECK_PROTE,PERCENT_AD,NATIONAL_N,PIER_PROTE,BRIDGE_LEN,SCOUR_CRIT,FUTURE_ADT,YEAR_OF_FU,MIN_NAV_CL,FED_AGENCY,SUBMITTED_,BRIDGE_CON_SHORT,DECK_COND_CODE,LOWEST_RAT,DECK_AREA,STATUS,DATE,LATDD,LONGDD,BRIDGE_CON,DECK_CON
13,12,710016,1,4,0,226,0,2,19,0,WALKILL CREEK,0,CR 226,0.2 MI WEST OF CR 209,99.99,2.588,0,71519000,0,29561200,81395200,13,3,2,2,9,1963,2,0,103,2022,0,5.6,0,0,0,N,N,0,0,5,0,0,0,A,1,5,1,19,0,0,3,0,8.5,2.7,7.8,0,0,0,0,99.99,N,0,N,0,0,N,N,5,6,1,36,1,21.6,6,N,N,5,5,7, , ,0,822,24,N,Y24,N, ,822, ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,179,2042,0,N,12,F,N,6,43.68,MM,603,29.926003,-81.678753,Fair,N/A
14,12,710017,1,3,1,16,0,2,19,0,N. FORK OF BLACK CREEK,0,SR-16 WB,0.6 MI. E. OF SR-215,99.99,9.815,1,71050000,0,29585377,81580197,2,3,1,1,2,1942,2,0,2300,2021,4,9.2,0,0,0,1,1,1,1,4,0,0,0,A,1,5,1,1,0,0,12,0,8.4,4.6,54.9,0,0,8.4,9.5,99.99,N,0,N,0,0,7,7,7,N,1,51.7,1,30.8,7,3,N,5,8,8, , ,0,522,24,N,N,N, , , ,0,0,0,0, ,0, ,3,L,1, ,1,0,0,1,6,0,0,8,0, ,Y,5,3990,2043,0,N,12,G,7,7,521.55,AM,1202,29.981608,-81.967158,Good,Good
15,12,710018,1,4,1,315,0,2,19,0,PETERS CREEK,0,CR 315,2.8 MI SOUTH OF SR 16,99.99,18.858,0,71560000,0,29564160,81443385,3,3,2,2,9,1961,2,0,906,2022,0,5.8,0,48,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,2,0,8.6,4.7,9.4,0,0,0,0,99.99,N,0,N,0,0,N,N,5,6,3,66.6,3,42.8,6,N,N,5,6,7, , ,0,822,24,N,Y24,N, ,822, ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,1572,2042,0,N,12,F,N,6,54.52,AM,1202,29.944553,-81.743019,Fair,N/A
16,12,710019,1,4,1,220,0,2,19,0,GROG BRANCH,0,CR 220,1.2 MI EAST OF SR 21,99.99,3.846,0,71580000,0,30053300,81502000,5,3,2,2,16,1959,2,0,9000,2022,0,6.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,0,2,0,8.7,3.1,6.3,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,1,83,1,49.8,6,N,N,5,8,8, , ,0,922,24,N,Y24,N, ,922, ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,1,0, ,Y,8,15615,2042,0,N,12,F,N,6,42.21,AM,1202,30.092567,-81.838933,Fair,N/A
17,12,710020,1,4,1,220,0,2,19,0,DILLABERRY BRANCH,0,EVERETT AVENUE,0.81MI WEST OF SR 21,99.99,1.411,0,71580001,0,30041380,81524600,3,3,2,2,19,1960,2,0,299,2022,0,6.1,0,29,0,N,N,0,0,5,0,0,0,A,1,5,1,19,0,0,2,0,8.4,3.6,6.9,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,3,49.4,3,31.7,6,N,N,5,6,8, , ,0,922,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,519,2042,0,N,12,F,N,6,42.09,MM,603,30.070361,-81.879297,Fair,N/A
18,12,710022,1,3,1,16,0,2,19,0,S. FORK OF BLACK CREEK,0,SR-16,2.7 MI. E. OF SR-21,99.99,20.973,1,71050000,0,29584658,81510825,31,3,1,1,2,1955,2,0,7700,2021,2,9.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,4,0,0,13,0,8.4,7.6,99.1,0,0,8.5,10.1,99.99,N,0,N,0,0,6,4,4,N,1,44.3,1,26.6,4,4,N,5,8,8,38,1,99.1,721,24,N,N,Y12, , ,722,202,0,202,0, ,0, ,0,N,2, ,1,0,0,1,0,0,0,14,0, ,Y,3,13360,2043,0,N,12,P,6,4,1000.91,AM,1202,29.979625,-81.852269,Poor,Fair
19,12,710023,1,4,1,0016A,0,2,19,0,NORTH FORK BLACK CREEK,0,KINGSLEY LAKE DR,0.17 MI EAST OF SR 16,99.99,0.274,0,71509000,0,29582560,82005380,3,3,2,2,8,1970,2,0,300,2022,0,5.8,0,0,0,N,N,0,0,5,0,0,0,A,5,5,1,19,0,0,4,0,14.9,1.8,10.1,0,0,0,0,99.99,N,0,N,0,0,N,N,5,7,2,43.5,2,32.7,7,N,N,5,7,8, , ,0,922,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,2,0, ,Y,8,521,2042,0,N,12,G,N,7,58.58,ST,723,29.973778,-82.014944,Good,N/A
20,12,710024,1,4,1,209,0,2,19,0,WALKILL CREEK,0,CR 209,1.9 MI SOUTH OF US 17,99.99,5.142,0,71550000,0,29560930,81394100,5,3,2,2,9,1950,2,0,619,2022,0,6.2,0,0,0,N,N,0,0,5,0,0,0,A,1,5,3,19,0,0,2,0,8.1,4.7,9.5,0,0,0,0,99.99,N,0,N,0,0,N,N,6,5,3,60.8,3,38.8,5,N,N,5,5,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,1074,2042,0,N,12,F,N,5,58.9,AM,1202,29.934839,-81.661058,Fair,N/A
21,12,710025,1,4,1,226,0,2,19,0,ST. JOHNS TRIBUTARY,0,CR 226,0.46 MI EAST OF US 17,99.99,0.744,0,71519000,0,29553400,81404200,13,3,2,2,9,1963,2,0,103,2022,0,5.5,0,25,0,N,N,0,0,5,0,0,0,A,1,5,1,19,0,0,3,0,8.4,4.3,12.6,0,0,0,0,99.99,N,0,N,0,0,N,N,6,6,3,56.8,3,36.6,6,N,N,5,5,8, , ,0,822,24,N,N,N, , , ,0,0,0,0, ,0, ,0,N,2, ,0,0,0,N,N,N,N,10,0, ,Y,8,179,2042,0,N,12,F,N,6,69.3,MM,603,29.924378,-81.680525,Fair,N/A
22,12,710027,1,4,1,220,0,2,19,52125,LITTLE BLACK CREEK,0,CR 220,1.75 MI WEST OF CR 224,99.99,8.008,0,71580000,0,30061980,81480930,3,3,2,2,16,1947,2,0,9000,2022,0,6.4,0,0,0,0,0,0,0,5,0,0,0,P,1,5,1,1,0,0,7,0,7.3,6.1,42.7,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,6,4,7,N,1,28.4,1,17.1,4,2,N,1,8,6,35,1,42.7,922,24,N,Y12,Y08, ,922,123,550,170,825,0, ,0, ,0,N,2, ,0,0,0,1,0,0,0,1,0, ,Y,3,15615,2042,0,N,12,P,6,4,333.06,AM,1202,30.105528,-81.802511,Poor,Fair
