index,county,year,crashes
0,Clay,2019,3
1,Duval,2019,39
2,Nassau,2019,6
3,St. Johns,2019,6
4,Clay,2020,7
5,Duval,2020,41
6,Nassau,2020,1
7,St. Johns,2020,4
8,Clay,2021,5
9,Duval,2021,45
10,Nassau,2021,3
11,St. Johns,2021,3
12,Clay,2022,2
13,Duval,2022,28
14,Nassau,2022,0
15,St. Johns,2022,4
16,Clay,2023,6
17,Duval,2023,31
18,Nassau,2023,2
19,St. Johns,2023,7
