index,Year,County,PedFatal,BikeFatal
0,2019,Duval,45,10
1,2020,Duval,45,12
2,2021,Duval,45,6
3,2022,Duval,43,5
4,2023,Duval,44,5
5,2019,St. Johns,3,3
6,2020,St. Johns,4,4
7,2021,St. Johns,9,1
8,2022,St. Johns,7,1
9,2023,St. Johns,7,3
10,2019,Clay,3,2
11,2020,Clay,5,2
12,2021,Clay,4,1
13,2022,Clay,7,2
14,2023,Clay,9,1
15,2019,Nassau,0,0
16,2020,Nassau,2,1
17,2021,Nassau,1,1
18,2022,Nassau,1,0
19,2023,Nassau,2,1
