index,county,year,drivers
0,Clay,2019,175080
1,Duval,2019,734121
2,Nassau,2019,74089
3,St. Johns,2019,208362
4,Clay,2020,176206
5,Duval,2020,737856
6,Nassau,2020,75803
7,St. Johns,2020,217403
8,Clay,2021,178178
9,Duval,2021,737731
10,Nassau,2021,78415
11,St. Johns,2021,229763
12,Clay,2022,178943
13,Duval,2022,750421
14,Nassau,2022,80958
15,St. Johns,2022,240491
16,Clay,2023,188783
17,Duval,2023,769479
18,Nassau,2023,85894
19,St. Johns,2023,258652
