Index,Category,FY23_Qtr,Mins
0,Open Roads Duration,1st Quarter,48.8
1,Roadway Clearance Duration,1st Quarter,55.7
2,Open Roads Duration,2nd Quarter,47.5
3,Roadway Clearance Duration,2nd Quarter,55.3
4,Open Roads Duration,3rd Quarter,50
5,Roadway Clearance Duration,3rd Quarter,57.3
6,Open Roads Duration,4th Quarter,49.6
7,Roadway Clearance Duration,4th Quarter,57.3
