index,county,year,population
0,Clay,2019,215246
1,Duval,2019,970672
2,Nassau,2019,85070
3,St. Johns,2019,254412
4,Clay,2020,219575
5,Duval,2020,982080
6,Nassau,2020,89258
7,St. Johns,2020,261900
8,Clay,2021,221440
9,Duval,2021,1016809
10,Nassau,2021,93012
11,St. Johns,2021,285533
12,Clay,2022,225553
13,Duval,2022,1033533
14,Nassau,2022,95809
15,St. Johns,2022,296919
16,Clay,2023,231042
17,Duval,2023,1051278
18,Nassau,2023,100763
19,St. Johns,2023,315317
